Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
22001-G,IN_TRANSIT,Status Flat 1 Way Switch 6AX (Grey) - G,MODULAR,STATUS,9932,93486.1,13-11-2025,Slow-Moving,72
1451-W,IN_TRANSIT,Gold Hanging Bed Switch 6A - W,NON-MODULAR,GOLD,5663,93478.39,13-11-2025,Slow-Moving,72
6603-W,LD-PAT-021,,MODULAR,MODULAR BOXES,3680,93394.34000000001,11-11-2025,Slow-Moving,74
MCB-281,LF-DEL-01,Mcb Knob For Assure Mcb,MCB,,88140,93380.0,01-09-2025,Slow-Moving,145
21071-W,LD-JAI-014,Teron Mini Step Fan Regulator - W,MODULAR,TERON,1160,93362.20999999999,17-09-2025,Slow-Moving,129
9606-W,LD-PAT-021,Status Flat 2 Way Switch 6AX - W,MODULAR,STATUS,1220,93340.43,31-10-2025,Slow-Moving,85
1210-BL,LD-CUT-003,,MODULAR,STATUS,1371,93250.73,31-10-2025,Slow-Moving,85
2406-MW,LD-ZIR-028,,NON-MODULAR,GOLD,1083,93019.51,03-11-2025,Slow-Moving,82
19016-G,LD-CEN-003,,MODULAR,ESTELLA,1700,92980.54000000001,30-10-2025,Slow-Moving,86
9708-W,LF-VAS-006,Single Door DBs 8 Way (Spn) - W,MCB,TRIPRITE MCB,485,92872.65,01-09-2025,Slow-Moving,145
1210-W,LD-CUT-003,,MODULAR,STATUS,1340,92772.06,12-11-2025,Slow-Moving,73
2961-W,LD-LUC-017,Mini Parrot Musical Chime - W,SUPPORTED,VALUE,1607,92523.3,30-10-2025,Slow-Moving,86
4296-MW,LD-BAN-002,,NON-MODULAR,GOLD,444,92496.86,13-11-2025,Slow-Moving,72
16450-P,LD-CUT-012,Skylight LED Mood Rope Light 120 LED (50mtr) with Connector - P,LIGHTING,SKYLIGHT LED,36,92402.11,27-10-2025,Slow-Moving,89
17522-CL,LW-GHA-59,Skylight 12W LED Galaxy Concealed Light - CL,LIGHTING,SKYLIGHT LED,670,92318.89,20-09-2025,Slow-Moving,126
19016-G,LD-MEE-019,Estella 1 Way Switch 20A with Ind. (Grey) - G,MODULAR,ESTELLA,1462,92270.75,07-11-2025,Slow-Moving,78
9236-MW,LD-JAB-013,,NON-MODULAR,WAWA,9,92229.95,30-10-2025,Slow-Moving,86
5340-W,IN_TRANSIT,TripRite R.C.C.B 40A D.P. (100mA) - W,MCB,TRIPRITE MCB,214,92128.33,06-11-2025,Slow-Moving,79
MLWM-9241-J-MW,LF-SIL-017,,MOULDING WITH MTRL,,4111,92121.54000000001,12-11-2025,Slow-Moving,73
24112-W,LD-PAT-021,,MCB,ASSURE MCB,124,92020.32,10-11-2025,Slow-Moving,75
2961-W,LD-COI-006,Mini Parrot Musical Chime - W,SUPPORTED,VALUE,63,91921.73,18-09-2025,Slow-Moving,128
22036-G,LD-GWA-010,Status 3 Pin Socket 6A (Grey) - G,MODULAR,STATUS,2276,91862.38,12-11-2025,Slow-Moving,73
5250-R,LD-PAT-021,Trisafe+ Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - R,WIRE,TRISAFE+,21,91800.4,25-10-2025,Slow-Moving,91
14906-BG,IN_TRANSIT,Hi Glass 6M Plate - BG,MODULAR,PLATINUM,608,91770.01,13-11-2025,Slow-Moving,72
C-107,SAT-0063,Status Mini Dolly 22/2 1way,CUTTING,,69,91723.32,30-10-2025,Slow-Moving,86
21016-W,LD-JAI-014,Teron 1 Way Switch 16A - W,MODULAR,TERON,3300,91719.31999999999,17-09-2025,Slow-Moving,129
16307-P,LW-GHA-59,Skylight 7W LED Galaxy Concealed Light - P,LIGHTING,SKYLIGHT LED,755,91607.33,08-10-2025,Slow-Moving,108
21016-W,LD-VIJ-027,,MODULAR,TERON,3510,91605.16,31-10-2025,Slow-Moving,85
22116-G,IN_TRANSIT,Status MCB 16A SP (Grey) - G,MODULAR,STATUS - GREY ACC,1132,91582.78,13-11-2025,Slow-Moving,72
C-118,IND-0051,D Type 16A 1w Zula (0.70mm Bra,CUTTING,,145,91473.12,10-11-2025,Slow-Moving,75
C-118,MOH-0537,D Type 16A 1w Zula (0.70mm Bra,CUTTING,,68,91473.12,11-11-2025,Slow-Moving,74
22001-G,LD-RAI-022,Status Flat 1 Way Switch 6AX (Grey) - G,MODULAR,STATUS,6040,91420.33,10-11-2025,Slow-Moving,75
10106-W,LD-DHA-007,Status MCB 6A SP - W,MODULAR,STATUS,1211,91188.16,08-09-2025,Slow-Moving,138
3356-W,LD-ROH-024,Galaxy Ding Dong Bell - W,SUPPORTED,VALUE,1128,91163.43,12-11-2025,Slow-Moving,73
5250-BL,LD-RAI-022,,WIRE,TRISAFE+,70,90978.67,28-10-2025,Slow-Moving,88
2406-MW,LF-SIL-017,,NON-MODULAR,GOLD,7450,90958.5,13-11-2025,Slow-Moving,72
SFG-10616-CB,LF-VAS-006,,SFG,,148,90916.62,12-11-2025,Slow-Moving,73
3276-W,LD-BAN-002,Regency Musical Chime - W,SUPPORTED,VALUE,580,90699.23,13-11-2025,Slow-Moving,72
1941-W,LF-SIL-017,Porcelain 100/415v Kit Kat Fuse - W,SUPPORTED,ALLIED,182,90632.96,12-11-2025,Slow-Moving,73
16402-WL,LW-BHI-58,Skylight 2W LED Spot Light - WL,LIGHTING,SKYLIGHT LED,10,90622.41,16-10-2025,Slow-Moving,100
10808-PI,LW-BHI-58,Axis 8HM Forest Colour Plate - PI,MODULAR,STATUS,727,90607.09,08-09-2025,Slow-Moving,138
PK-231,IN_TRANSIT,,PACKAGING,,452760,90552.0,31-10-2025,Slow-Moving,85
10526-W,LF-HAR-G1,Swing 2way Switch 6A - W,MODULAR,STATUS,2380,90535.2,05-11-2025,Slow-Moving,80
PK-O-5225,LF-DEL-01,RCCB Common Outer For Triprite,PACKAGING,,3849,90510.0,01-09-2025,Slow-Moving,145
22001-G,LD-RIS-23A,Status Flat 1 Way Switch 6AX (Grey) - G,MODULAR,STATUS,6130,90336.0,11-10-2025,Slow-Moving,105
MLWM-3266-B,LF-SIL-017,Dome Ceiling Rose Base  -  With Material,MOULDING WITH MTRL,,42000,90300.0,06-10-2025,Slow-Moving,110
16203-P,LW-BHI-58,,LIGHTING,SKYLIGHT LED,2350,90258.0,06-11-2025,Slow-Moving,79
2226-W,LD-VIJ-027,Amro 2 Pin Flex Box 4mtr - W,SUPPORTED,VALUE,883,90250.83,09-10-2025,Slow-Moving,107
14271-W,LF-HAR-E57,Platinum Deep 2 Way Switch 20A - W,MODULAR,PLATINUM,460,90213.6,12-11-2025,Slow-Moving,73
PK-O-21001,LF-HAR-E57,Teron Switch Outer,PACKAGING,,9375,90089.34,20-09-2025,Slow-Moving,126
18001-W,LD-RIS-23A,Estella 1 Way Switch 10AX - W,MODULAR,ESTELLA,5653,90087.84,31-10-2025,Slow-Moving,85
MCB-070,LF-DEL-01,Slider For Triprite Mcb,MCB,,363125,89969.22,12-11-2025,Slow-Moving,73
MCB-22125,LF-HAR-E57,SFG  -  Tiny MCB C - 25A SP (Grey),MCB,,2330,89958.0,29-10-2025,Slow-Moving,87
5400-R,LD-DHA-007,,WIRE,TRISAFE+,32,89924.0,31-10-2025,Slow-Moving,85
MLWM-9601-B-HAR,AMI-0058,Flat Switch Base - With Materi,MOULDING WITH MTRL,,27151,89856.0,06-11-2025,Slow-Moving,79
POP-8431,LF-VAS-006,,POP,,204,89760.0,13-11-2025,Slow-Moving,72
11106-W,LD-GWA-010,,MODULAR,STATUS,2145,89752.72,29-10-2025,Slow-Moving,87
C-107,AWA-0056,Status Mini Dolly 22/2 1way,CUTTING,,204,89751.09,13-11-2025,Slow-Moving,72
5250-BK,LD-LUC-017,Trisafe+ Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - BK,WIRE,TRISAFE+,10,89739.59,22-09-2025,Slow-Moving,124
9506-W,LD-ROH-024,Status Universal Socket 6/16A - W,MODULAR,STATUS,3,89694.0,14-10-2025,Slow-Moving,102
MLWM-1621-P-MW-SIL,LF-SIL-017,Gold 3pin Socket Plate SIL,MOULDING WITH MTRL,,1172,89670.08,12-11-2025,Slow-Moving,73
9376-W,LD-HUB-029,Status Mini Step Fan Regulator - W,MODULAR,STATUS,596,89664.74,03-11-2025,Slow-Moving,82
9386-W,LD-GWA-010,Status 1 Way Switch 16AX - W,MODULAR,STATUS,769,89630.9,31-10-2025,Slow-Moving,85
19086-G,LF-HAR-G1,Estella Medium Step Regulator (Grey) - G,MODULAR,ESTELLA,601,89623.87,12-11-2025,Slow-Moving,73
10812-PI,IN_TRANSIT,,MODULAR,STATUS,800,89529.78,13-11-2025,Slow-Moving,72
PK-P-9251,LF-AND-28,Status 6A Switch Printed Panni (71 x 110),PACKAGING,,227860,89520.0,16-10-2025,Slow-Moving,100
14001-W,IN_TRANSIT,Platinum 1 Way Switch 10A - W,MODULAR,PLATINUM,7209,89452.21,10-11-2025,Slow-Moving,75
SFG-19001,LF-VAS-006,,SFG,,310,89413.8,28-10-2025,Slow-Moving,88
7075-GR,IN_TRANSIT,,WIRE,ECO-FR,150,89405.82,08-11-2025,Slow-Moving,77
1208-BL,IN_TRANSIT,Smartwood 8HM Plate - BL,MODULAR,STATUS,1583,89372.16,10-11-2025,Slow-Moving,75
B-008,DAK-1534,,BRASS,,71,89324.0,08-11-2025,Slow-Moving,77
3266-MW,LD-RAI-022,,SUPPORTED,VALUE,8400,89310.92,12-11-2025,Slow-Moving,73
17012-CL,LD-RAI-022,Skylight 12W LED Glitz Frameless Surface Round Panel - CL,LIGHTING,SKYLIGHT LED,565,89242.38,12-11-2025,Slow-Moving,73
23132-W,LD-CUT-012,Assure C - MCB 32A SP - W,MCB,ASSURE MCB,1404,89227.16,22-10-2025,Slow-Moving,94
25225-W,LF-DEL-01,Assure Changeover 25A DP - W,MCB,ASSURE MCB,390,89103.23999999999,06-10-2025,Slow-Moving,110
9536-W,LF-HAR-E57,,MODULAR,STATUS,660,88934.4,12-11-2025,Slow-Moving,73
16205-BL,LD-RIS-23A,Skylight 5W LED Galaxy Concealed Light - BL,LIGHTING,SKYLIGHT LED,1485,88903.84,17-10-2025,Slow-Moving,99
18061-W,LD-CUT-003,,MODULAR,ESTELLA,1800,88889.87,07-11-2025,Slow-Moving,78
21001-W,LD-BAN-002,,MODULAR,TERON,11660,88855.2,06-11-2025,Slow-Moving,79
14908-BG,IN_TRANSIT,Hi Glass 8HM Plate - BG,MODULAR,PLATINUM,511,88826.93000000001,13-11-2025,Slow-Moving,72
3110-W,LF-DEL-01,,MCB,TRIPRITE MCB,2498,88788.48,12-11-2025,Slow-Moving,73
MLWM-2351-B-MW-SIL,LF-SIL-017,Gold 5x1 Indicator Base MW - SIL  -  With Material,MOULDING WITH MTRL,,92018,88675.46,06-10-2025,Slow-Moving,110
21036-W,LD-HUB-029,,MODULAR,TERON,4500,88596.31,31-10-2025,Slow-Moving,85
6708-W,IN_TRANSIT,Plastic Surface Box 8HM - W,MODULAR,MODULAR BOXES,2201,88566.84,13-11-2025,Slow-Moving,72
3116-W,LD-CUT-012,TripRite C - MCB 16A SP - W,MCB,TRIPRITE MCB,1560,88492.41,22-10-2025,Slow-Moving,94
MCB-3912,LF-DEL-01,,FG,,174,88426.0,12-11-2025,Slow-Moving,73
MLWM-4291-B-W,LF-SIL-017,Gold Double Combine 6A Junction Box - With Material,MOULDING WITH MTRL,,7688,88335.12,06-10-2025,Slow-Moving,110
3276-W,LD-RAI-022,,SUPPORTED,VALUE,679,88179.8,31-10-2025,Slow-Moving,85
9251-W,LD-ROH-024,,MODULAR,STATUS,8090,88156.4,31-10-2025,Slow-Moving,85
1219-W,LD-MEE-019,,MODULAR,STATUS,410,88077.19,31-10-2025,Slow-Moving,85
23332-W,LD-CUT-012,Assure C - MCB 32A DP - W,MCB,ASSURE MCB,403,87921.53,22-10-2025,Slow-Moving,94
5150-Y,LD-RAI-022,,WIRE,TRISAFE+,71,87702.0,31-10-2025,Slow-Moving,85
5150-BK,LD-JAI-014,Trisafe+ Wires 1.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - BK,WIRE,TRISAFE+,59,87701.47,18-10-2025,Slow-Moving,98
5150-Y,LD-RIS-23A,Trisafe+ Wires 1.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - Y,WIRE,TRISAFE+,40,87701.45,19-09-2025,Slow-Moving,127
10703-G,LD-MEE-019,Axis 3M Plate - G,MODULAR,STATUS,1462,87653.72,07-11-2025,Slow-Moving,78
3216-W,LF-DEL-01,TripRite C - MCB 16A DP - W,MCB,TRIPRITE MCB,531,87565.68,12-11-2025,Slow-Moving,73
1304-IW,IN_TRANSIT,,MODULAR,STATUS,1200,87516.88,13-11-2025,Slow-Moving,72
C-205,LF-SIL-017,Wawa 5x1 KK L Part (Small),CUTTING,,120,87512.22,05-11-2025,Slow-Moving,80
LED-17012-CL,LF-VAS-006,FG Skylight 12W LED Glitz Frameless Surface Round Panel  -  CL,LED,,12,87500.0,25-09-2025,Slow-Moving,121
1308-IW,LD-CUT-003,,MODULAR,STATUS,520,87496.73,24-10-2025,Slow-Moving,92
6603-W,IN_TRANSIT,Metal Concealed Box 3M - W,MODULAR,MODULAR BOXES,3445,87439.59,13-11-2025,Slow-Moving,72
10712-W,LD-CUT-003,Axis 12M Plate - W,MODULAR,STATUS,580,87415.9,24-10-2025,Slow-Moving,92
4346-MW,LD-ZIR-028,Lite Combine 6/16A with Box & Ind. - MW,NON-MODULAR,GOLD,1410,87340.3,31-10-2025,Slow-Moving,85
21125-W,LF-HAR-E57,Teron MCB 25A SP - W,MODULAR,TERON,1370,87297.99,06-10-2025,Slow-Moving,110
14281-W,LD-SRI-025,,MODULAR,PLATINUM,1127,87262.37,13-11-2025,Slow-Moving,72
10306-W,LD-RAI-022,,MODULAR,STATUS,870,87240.0,30-10-2025,Slow-Moving,86
5240-W,LF-HAR-G1,TripRite R.C.C.B 40A D.P. (30mA) - W,MCB,TRIPRITE MCB,150,87216.73999999999,11-11-2025,Slow-Moving,74
SFG-19076,LF-VAS-006,,SFG,,90,87170.0,31-10-2025,Slow-Moving,85
9016-MW,LD-KOL-015,Wawa 3 Pin Socket 6A - MW,NON-MODULAR,WAWA,5140,87163.62,13-11-2025,Slow-Moving,72
22041-G,LD-RIS-23A,Status Universal Socket 6/16A (Grey) - G,MODULAR,STATUS - GREY ACC,1470,87127.34,11-10-2025,Slow-Moving,105
9286-W,LF-HAR-E57,Status Dual Bell Push 6A - W,MODULAR,STATUS,2290,87111.6,06-10-2025,Slow-Moving,110
19066-G,LD-CUT-003,Estella Universal Socket 6/16A with Shutter (Grey) - G,MODULAR,ESTELLA,1240,87072.02,07-11-2025,Slow-Moving,78
SFG-2246-MW,LF-AND-28,,SFG,,1493,87068.1,13-11-2025,Slow-Moving,72
SFG-1304-DS,LF-VAS-006,SFG  -  Smartwood 4M Plate (Dark Sparkle),SFG,,4,87039.15,29-09-2025,Slow-Moving,117
9616-W,LD-JAI-014,Status Flat 1 Way Switch 16AX - W,MODULAR,STATUS,2398,86976.24,14-10-2025,Slow-Moving,102
9616-W,LD-ROH-024,Status Flat 1 Way Switch 16AX - W,MODULAR,STATUS,1365,86976.24,14-10-2025,Slow-Moving,102
MCB-086,LF-DEL-01,Snap Pusher Pbt For Triprite Mcb,MCB,,94437,86929.2,12-11-2025,Slow-Moving,73
5150-BK,IN_TRANSIT,,WIRE,TRISAFE+,99,86824.45,11-11-2025,Slow-Moving,74
6604-W,LD-PAT-021,,MODULAR,MODULAR BOXES,2880,86702.83,11-11-2025,Slow-Moving,74
7250-Y,LD-LUC-017,ECO - FR Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - Y,WIRE,ECO-FR,50,86625.5,30-09-2025,Slow-Moving,116
16006-CL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,220,86583.22,12-11-2025,Slow-Moving,73
PO-004,LF-HAR-E57,Wawa 16A Swt Porc,PORCELAIN,,362,86557.2,25-10-2025,Slow-Moving,91
9621-W,LD-CUT-003,Status Flat 2 Way Switch 16AX - W,MODULAR,STATUS,1200,86544.0,11-09-2025,Slow-Moving,135
19066-G,LD-PAT-021,Estella Universal Socket 6/16A with Shutter (Grey) - G,MODULAR,ESTELLA,985,86516.73999999999,12-11-2025,Slow-Moving,73
21001-W,LD-VIJ-027,,MODULAR,TERON,6009,86485.73,11-11-2025,Slow-Moving,74
18086-W,IN_TRANSIT,Estella Medium Step Regulator - W,MODULAR,ESTELLA,659,86392.58,13-11-2025,Slow-Moving,72
19503-G,IN_TRANSIT,,MODULAR,ESTELLA,1998,86377.6,13-11-2025,Slow-Moving,72
1926-W,IN_TRANSIT,,SUPPORTED,ALLIED,1209,86315.56,11-11-2025,Slow-Moving,74
22006-G,LD-LUC-017,,MODULAR,STATUS - GREY ACC,2402,86280.81,04-11-2025,Slow-Moving,81
10708-W,LD-PAT-021,,MODULAR,STATUS,1110,86256.6,10-11-2025,Slow-Moving,75
SFG-10508-EG,LF-VAS-006,,SFG,,99,86241.24,18-10-2025,Slow-Moving,98
SFG-23132-DEL-W,LF-DEL-01,,SFG,,4238,86238.96,12-11-2025,Slow-Moving,73
SFG-19516-G,LF-VAS-006,SFG  -  Estella Charcoal Grey 16M Plate,SFG,,6,86203.8,18-09-2025,Slow-Moving,128
10308-W,LD-LUC-017,Solo 8HM Plate - W,MODULAR,STATUS,1304,86144.06,27-10-2025,Slow-Moving,89
6818-W,LF-HAR-E57,,MODULAR,MODULAR BOXES,660,86089.7,12-11-2025,Slow-Moving,73
9076-MW,IN_TRANSIT,Wawa Medium Step Fan Regulator - MW,NON-MODULAR,WAWA,1093,86081.12,13-11-2025,Slow-Moving,72
B-058,AMI-0058,,BRASS,,189,86068.8,06-11-2025,Slow-Moving,79
10618-CB,IN_TRANSIT,,MODULAR,STATUS,340,86023.40000000001,13-11-2025,Slow-Moving,72
MLWM-2186-C,LF-SIL-017,Fashion / Dome Ceiling Rose Cover  -  With Material,MOULDING WITH MTRL,,40000,86000.0,03-10-2025,Slow-Moving,113
17630-CL,LD-LUC-017,,LIGHTING,SKYLIGHT LED,600,85957.31,27-10-2025,Slow-Moving,89
9601-W,LD-IND-012,Status Flat 1 Way Switch 6AX - W,MODULAR,STATUS,5940,85785.42,05-11-2025,Slow-Moving,80
5100-R,LF-HAR-E57,,WIRE,TRISAFE+,139,85785.24,12-11-2025,Slow-Moving,73
7306-VT,LF-AND-28,Style 6A Soc Colour Plate - VT,NON-MODULAR,STYLE,17150,85750.0,01-09-2025,Slow-Moving,145
PK-505,LF-SIL-017,Common Panni (4.5x5),PACKAGING,,37812,85750.0,01-09-2025,Slow-Moving,145
1203-BL,IN_TRANSIT,Smartwood 3M Plate  - BL,MODULAR,STATUS,2421,85646.7,10-11-2025,Slow-Moving,75
SFG-18076,LF-VAS-006,,SFG,,386,85576.8,07-11-2025,Slow-Moving,78
21001-W,LD-JAI-014,Teron 1 Way Switch 6A - W,MODULAR,TERON,11480,85468.20000000001,19-09-2025,Slow-Moving,127
2551-W,LD-LUC-017,Energy Meter 5 - 30a Counter Type - W,SUPPORTED,ALLIED,275,85450.48999999999,13-11-2025,Slow-Moving,72
10712-G,LD-DHA-007,,MODULAR,STATUS,950,85415.07,30-10-2025,Slow-Moving,86
POP-8437,LF-AND-28,PM CONA Flex Board with Frame,POP,,1314,85410.0,10-10-2025,Slow-Moving,106
3356-W,LD-LUC-017,Galaxy Ding Dong Bell - W,SUPPORTED,VALUE,1429,85397.59,30-10-2025,Slow-Moving,86
16436-CL,LD-ROH-024,Skylight 36W LED Iris T - 8 - CL,LIGHTING,SKYLIGHT LED,587,85396.56,14-10-2025,Slow-Moving,102
7150-Y,IN_TRANSIT,,WIRE,ECO-FR,100,85307.88,08-11-2025,Slow-Moving,77
3196-MW,LF-SIL-017,Gold Mini Dimmer - MW,NON-MODULAR,GOLD,2480,85296.42,12-11-2025,Slow-Moving,73
2406-MW,LF-AND-N20,Deluxe Surface D.P. 32A - MW,NON-MODULAR,GOLD,923,85194.84,12-11-2025,Slow-Moving,73
PK-I-2251,LF-SIL-017,Gold 3x1 Box Inner,PACKAGING,,22390,85164.84,07-11-2025,Slow-Moving,78
5150-BK,LD-ROH-024,Trisafe+ Wires 1.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - BK,WIRE,TRISAFE+,60,85070.42,13-10-2025,Slow-Moving,103
C-001,IND-0051,Status 16A 1W Dolly Bimetal Ri,CUTTING,,87,85068.0,06-11-2025,Slow-Moving,79
4346-MW,LD-JAI-014,Lite Combine 6/16A with Box & Ind. - MW,NON-MODULAR,GOLD,1320,84841.3,04-11-2025,Slow-Moving,81
MCB-214,LF-DEL-01,"Flexible Cord Wire  -  Common (1.75 Sqmm Copper, L - 40mm, Rating  -  16A, 20A )",MCB,,52,84810.3,12-11-2025,Slow-Moving,73
9356-W,IN_TRANSIT,Status Blank Plate - W,MODULAR,STATUS,13019,84755.14,13-11-2025,Slow-Moving,72
MCB-278,LF-DEL-01,Mcb Nut + Grub Screw Set For Assure Mcb,MCB,,77340,84750.0,01-10-2025,Slow-Moving,115
10120-W,LD-PAT-021,Status MCB 20A SP - W,MODULAR,STATUS,560,84678.62000000001,10-10-2025,Slow-Moving,106
B-017,MOH-2120,Female Pin,BRASS,,113,84660.98,08-11-2025,Slow-Moving,77
MCB-206,LF-DEL-01,Bi - Metal 63A Smcas - 3 For Triprite Mcb,MCB,,10860,84631.9,12-11-2025,Slow-Moving,73
PK-MP-9251,LF-HAR-E57,Status Switch Mini Packaging Cartoon (A),PACKAGING,,1314,84567.61,27-10-2025,Slow-Moving,89
MLWM-9316-B-HAR,GEM-1444,Status 3pin Socket Base - With,MOULDING WITH MTRL,,52359,84388.0,11-11-2025,Slow-Moving,74
B-071,RKV-1613,Holder Small Fix Part (4 Parts,BRASS,,208,84367.44,11-11-2025,Slow-Moving,74
17050-WL,LW-BHI-58,Skylight 50W LED Smart Lens Type Flood Light - WL,LIGHTING,SKYLIGHT LED,60,84362.18999999999,10-10-2025,Slow-Moving,106
4296-MW,LD-ZIR-028,,NON-MODULAR,GOLD,551,84314.34,10-11-2025,Slow-Moving,75
PK-M-012,LF-DEL-01,PM Cona White Patta with Blue Printed Logo,PACKAGING,,73,84275.0,01-09-2025,Slow-Moving,145
B-023,MIR-622,1/8 M.NUT (0.065 kg),BRASS,,848,84245.14,06-11-2025,Slow-Moving,79
9381-W,LD-DHA-007,,MODULAR,STATUS,582,84204.0,22-10-2025,Slow-Moving,94
C-031,LF-HAR-E57,Gold 16A Dolly Small with Big Rivet (5x1.7/2x2.5),CUTTING,,85,84193.33,29-10-2025,Slow-Moving,87
21006-W,LW-BHI-58,Teron 2 Way Switch 6A - W,MODULAR,TERON,2800,84191.03,11-10-2025,Slow-Moving,105
PK-1583,LF-SIL-017,Master Ctn  -  2x1 Gold,PACKAGING,,984,84133.4,08-11-2025,Slow-Moving,77
SFG-1208-BL,LF-VAS-006,SFG  -  Smartwood 8H Plate (Blue),SFG,,1724,84109.0,13-11-2025,Slow-Moving,72
14612-W,IN_TRANSIT,Platinum 12M Plate - W,MODULAR,PLATINUM,762,84054.42,13-11-2025,Slow-Moving,72
D-C-9076,LF-HAR-E57,,DIMMER,,1650,84000.0,27-10-2025,Slow-Moving,89
4281-MW,LD-CUT-003,,SUPPORTED,VALUE,6300,83998.02,13-11-2025,Slow-Moving,72
4640-W,LD-MEE-019,TripRite Changeover 40A DP - W,MCB,TRIPRITE MCB,308,83898.98,12-11-2025,Slow-Moving,73
3132-W,LD-LUC-017,TripRite C - MCB 32A SP - W,MCB,TRIPRITE MCB,1857,83892.92,13-11-2025,Slow-Moving,72
10702-G,IN_TRANSIT,Axis 2M Plate - G,MODULAR,STATUS,2677,83879.53,11-11-2025,Slow-Moving,74
16251-CL,IN_TRANSIT,Skylight 50W LED Max Lens type Street Light - CL,LIGHTING,SKYLIGHT LED,152,83844.34000000001,08-11-2025,Slow-Moving,77
2856-W,LD-COI-006,Mars Ding Dong Bell - W,SUPPORTED,VALUE,450,83733.68,18-09-2025,Slow-Moving,128
9041-MW,LF-HAR-E57,Wawa Tv Antenna Socket - MW,NON-MODULAR,WAWA,3400,83640.0,01-09-2025,Slow-Moving,145
5250-Y,LF-HAR-E57,,WIRE,TRISAFE+,66,83598.0,12-11-2025,Slow-Moving,73
19502-B,LF-VAS-006,Estella 2M Pure Colour Plate - B,MODULAR,ESTELLA,2140,83579.4,10-10-2025,Slow-Moving,106
SFG-10706-G,LF-VAS-006,,SFG,,2380,83538.0,13-11-2025,Slow-Moving,72
PK-O-9386,LF-AND-28,Status 16A Swt Printed Outer,PACKAGING,,7754,83537.15,12-11-2025,Slow-Moving,73
PK-P-9316,LF-AND-28,Status 6A Socket Printed Panni (101 x 120),PACKAGING,,193160,83472.0,16-10-2025,Slow-Moving,100
1304-DS,IN_TRANSIT,Smartwood 4M Forest Colour Plate - DS,MODULAR,STATUS,1160,83462.93999999999,13-11-2025,Slow-Moving,72
17100-CL,LD-RIS-23A,Skylight 100W LED Smart Lens Type Flood Light - CL,LIGHTING,SKYLIGHT LED,76,83325.0,23-09-2025,Slow-Moving,123
5150-Y,LD-SRI-025,,WIRE,TRISAFE+,90,83316.9,31-10-2025,Slow-Moving,85
18425-W,IN_TRANSIT,Estella MCB 25A SP - W,MODULAR,ESTELLA,996,83289.11,13-11-2025,Slow-Moving,72
9316-W,LD-IND-012,Status 3 Pin Socket 6A - W,MODULAR,STATUS,510,83251.26999999999,08-11-2025,Slow-Moving,77
1310-DS,IN_TRANSIT,Smartwood 10M Forest Colour Plate - DS,MODULAR,STATUS,760,83240.06,13-11-2025,Slow-Moving,72
1986-MW,LD-RIS-23A,,SUPPORTED,VALUE,3600,83167.05,10-11-2025,Slow-Moving,75
SFG-9856-HAR-BL,LF-HAR-E57,SFG - Fresh Modular Foot Lamp (3M/4M),SFG,,4078,82949.56,31-10-2025,Slow-Moving,85
18006-W,LD-PAT-021,Estella 2 Way Switch 10AX - W,MODULAR,ESTELLA,2068,82873.44,11-11-2025,Slow-Moving,74
2551-W,LD-ZIR-028,Energy Meter 5 - 30a Counter Type - W,SUPPORTED,ALLIED,355,82842.01000000001,31-10-2025,Slow-Moving,85
MIX-182,LF-SIL-017,Buff Wheel 8 x 100,OTHER RM,,197,82740.0,12-11-2025,Slow-Moving,73
23220-W,LF-DEL-01,Assure C - MCB 20A SPN - W,MCB,ASSURE MCB,480,82708.8,01-09-2025,Slow-Moving,145
9316-W,LD-HUB-029,Status 3 Pin Socket 6A - W,MODULAR,STATUS,4240,82581.43000000001,13-11-2025,Slow-Moving,72
6802-W,LD-CUT-003,,MODULAR,MODULAR BOXES,2080,82518.08,25-10-2025,Slow-Moving,91
POP-8482,LF-DEL-01,PM CONA New Bag,POP,,5000,82500.0,11-10-2025,Slow-Moving,105
16451-W,LD-ROH-024,Skylight LED Mood Rope Light Connector - W,LIGHTING,SKYLIGHT LED,490,82371.66,12-11-2025,Slow-Moving,73
4240-W,LD-VIJ-027,TripRite Isolator 40A DP - W,MCB,TRIPRITE MCB,508,82348.84,13-11-2025,Slow-Moving,72
14612-W,LD-LUC-017,Platinum 12M Plate - W,MODULAR,PLATINUM,527,82316.04999999999,11-11-2025,Slow-Moving,74
B-014,JAI-621,,BRASS,,115,82302.34999999999,12-11-2025,Slow-Moving,73
5250-GR,LW-GHA-59,Trisafe+ Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - GR,WIRE,TRISAFE+,50,82204.88,26-09-2025,Slow-Moving,120
