Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
10706-W,IN_TRANSIT,Axis 6M Plate - W,MODULAR,STATUS,14015,714636.22,12-11-2025,Slow-Moving,73
FG-2551,LF-DEL-01,FG Energy Meter 5 - 30A Counter Type,FG,,3551,714060.0,12-11-2025,Slow-Moving,73
B-001,LF-SIL-017,Baida DTC (0.188 kg),BRASS,,1027,704543.0700000001,29-10-2025,Slow-Moving,87
B-005,LF-SIL-017,15 TC with stud (0.38 kg),BRASS,,1007,703461.22,12-11-2025,Slow-Moving,73
POP-8436,LH-302-001,PM CONA Glow Sign Board,POP,,3712,702735.96,31-10-2025,Slow-Moving,85
24106-W,LF-DEL-01,Bold DBS 6 Way Double Door SPN - W,MCB,ASSURE MCB,506,697315.08,01-09-2025,Slow-Moving,145
MCB-24663,LF-DEL-01,SFG Assure RCCB DP 63A 30mA,MCB,,1606,695618.5,12-11-2025,Slow-Moving,73
1686-W,IN_TRANSIT,,NON-MODULAR,GOLD,18000,683092.7999999999,12-11-2025,Slow-Moving,73
21006-W,LF-HAR-E57,Teron 2 Way Switch 6A - W,MODULAR,TERON,29460,679933.34,12-11-2025,Slow-Moving,73
B-001,LF-HAR-E57,Baida DTC (0.188 kg),BRASS,,860,679378.83,13-11-2025,Slow-Moving,72
9506-W,LD-GWA-010,,MODULAR,STATUS,13161,675448.01,06-11-2025,Slow-Moving,79
PWD-001,LF-HAR-E57,Platinum PC (White Cream) (010295),PC,,3000,675000.0,10-09-2025,Slow-Moving,136
1114-W,LF-HAR-E57,Conwood 4.5*10.5 - W,NON-MODULAR,CONWOOD,10720,666033.6,06-10-2025,Slow-Moving,110
SFG-9226-MW,LF-HAR-E57,Wawa 3*1 6/16A,,,6438,663481.14,06-10-2025,Slow-Moving,110
9366-W,LD-CUT-003,Status Mini Dimmer - W,MODULAR,STATUS,2746,655475.61,22-10-2025,Slow-Moving,94
4663-W,IN_TRANSIT,TripRite Changeover 63A DP - W,MCB,TRIPRITE MCB,2144,650318.21,11-11-2025,Slow-Moving,74
9376-W,LD-CEN-003,Status Mini Step Fan Regulator - W,MODULAR,STATUS,4180,648224.48,13-11-2025,Slow-Moving,72
MIX-418,LF-HAR-E57,Kurz Foil Medium Size 122 / 130 / 134 mm ,MIX,,131,648065.0,31-10-2025,Slow-Moving,85
9856-WL,LF-HAR-E57,Fresh Modular Foot Lamp (3M/4M) - WL,MODULAR,STATUS,5440,646179.72,12-11-2025,Slow-Moving,73
24763-W,LF-DEL-01,Assure R.C.C.B. 63A D.P. (100mA) - W,MCB,ASSURE MCB,885,645523.29,06-10-2025,Slow-Moving,110
9601-W,LD-CEN-003,Status Flat 1 Way Switch 6AX - W,MODULAR,STATUS,56760,641770.52,13-11-2025,Slow-Moving,72
MLWM-9236-B-W,LF-SIL-017,Gold / Wawa 3x1 Junction Box - With Material - Off White,MOULDING WITH MTRL,,46468,640474.56,02-11-2025,Slow-Moving,83
16307-CL,LW-GHA-59,Skylight 7W LED Galaxy Concealed Light - CL,LIGHTING,SKYLIGHT LED,13540,639833.14,07-11-2025,Slow-Moving,78
1621-W,LD-CUT-003,,NON-MODULAR,GOLD,44100,634955.9299999999,11-11-2025,Slow-Moving,74
9386-W,LD-RAI-022,,MODULAR,STATUS,18660,633607.1799999999,10-11-2025,Slow-Moving,75
9856-CL,LF-HAR-E57,Fresh Modular Foot Lamp (3M/4M) - CL,MODULAR,STATUS,6070,632883.05,12-11-2025,Slow-Moving,73
PWD-153,LF-SIL-017,PC Grinding,PC,,2527,631750.0,02-11-2025,Slow-Moving,83
9386-W,LD-CUT-003,Status 1 Way Switch 16AX - W,MODULAR,STATUS,16469,628977.59,27-10-2025,Slow-Moving,89
MCB-10110,LF-HAR-E57,,MCB,,15665,621810.0,13-11-2025,Slow-Moving,72
SFG-9601,LF-VAS-006,,SFG,,33000,621000.0,11-11-2025,Slow-Moving,74
9506-W,LD-MEE-019,Status Universal Socket 6/16A - W,MODULAR,STATUS,5218,620592.98,31-10-2025,Slow-Moving,85
LED-16450-WL,LF-VAS-006,,LED,,308,619500.0,10-11-2025,Slow-Moving,75
