Vendor,Total_POs,On_Time_POs,Delayed_POs,On_Time %
Nandini Industries,7.0,2.0,5.0,28.57
Neha Enterprises,9.0,7.0,2.0,77.78
New Vama International,1.0,1.0,0.0,100.0
Nilkamal Limited-Andheri,1.0,1.0,0.0,100.0
OM INDUSTRIES-NEW,14.0,10.0,4.0,71.43
OM SAI ENTERPRISE - JW,3.0,3.0,0.0,100.0
OM SAI ENTERPRISE - SL - JW,21.0,14.0,7.0,66.67
OMKAR multipack Industries,1.0,0.0,1.0,0.0
P R ENTERPRISES,18.0,14.0,4.0,77.78
P.P.ASSEMBLING,17.0,9.0,8.0,52.94
P5 MARKETING,1.0,0.0,1.0,0.0
PAARTH INDUSTRIES,3.0,1.0,2.0,33.33
PACKAGING POINT,2.0,2.0,0.0,100.0
PANKAJ POLYMERS,10.0,9.0,1.0,90.0
PARTHIV PLASTIC IND,13.0,8.0,5.0,61.54
PASUPATY INDUSTRIES,10.0,8.0,2.0,80.0
PC ELECTROCOMP PRIVATE LIMITED,1.0,1.0,0.0,100.0
PERFECT PACKERS,5.0,2.0,3.0,40.0
PERFECT PRINT CARE,2.0,2.0,0.0,100.0
PLATINUM INDUSTRIES,22.0,18.0,4.0,81.82
PRAGATI ENTERPRISES,22.0,7.0,15.0,31.82
PREM MICRO ELECTRONICS,6.0,6.0,0.0,100.0
PRINT LINE,13.0,4.0,9.0,30.77
PRINT SHOPPE,1.0,0.0,1.0,0.0
PRINTSOUK,10.0,2.0,8.0,20.0
PRITAM CERAMICS,5.0,1.0,4.0,20.0
PRIYA ENTERPRISES,2.0,0.0,2.0,0.0
PW PRINTWAYS INDIA PRIVATE LIMITED,4.0,3.0,1.0,75.0
Palak Metals Co.,2.0,1.0,1.0,50.0
Pankaj Kumar,11.0,10.0,1.0,90.91
Parmar Engineering Works,5.0,3.0,2.0,60.0
QUALITYZ PACKAGING SOLUTIONS,1.0,1.0,0.0,100.0
R S ENTERPRISES,7.0,5.0,2.0,71.43
RAHUL ENTERPRISES-2,5.0,4.0,1.0,80.0
RAI INNOTECH POLYMERS PVT. LTD.,1.0,0.0,1.0,0.0
RAJ RAI,6.0,5.0,1.0,83.33
RAJAN ELETRICALS,11.0,2.0,9.0,18.18
RAJENDRAPRASAD R MOURYA,3.0,2.0,1.0,66.67
RAJESHREE INDUSTRIES,14.0,2.0,12.0,14.29
RAJESHWAR TIVARI,3.0,3.0,0.0,100.0
RAJIV PLASTICS INDUSTRIES,6.0,3.0,3.0,50.0
RAJU HOTKAR,11.0,7.0,4.0,63.64
RAKESH KUMAR,1.0,1.0,0.0,100.0
RAM ASHRAY PATEL - JW,9.0,8.0,1.0,88.89
RAM KUMAR VERMA - JW,4.0,2.0,2.0,50.0
RAM LAKHAN,3.0,3.0,0.0,100.0
RAM LAL RAM CHANDRA (INDIA) LTD.,5.0,2.0,3.0,40.0
RAM SHARAN - JW,16.0,12.0,4.0,75.0
RAMANUJ TIWARI - JW,1.0,1.0,0.0,100.0
RAMESH BRASS PRODUCTS,1.0,0.0,1.0,0.0
RAYLENSE OPTO ELECTRONICS INDUSTRIES PRIVATE LIMITED,14.0,7.0,7.0,50.0
REKHA TRADING CO,2.0,0.0,2.0,0.0
REPRO POLYTECH,7.0,6.0,1.0,85.71
RIDDHI SIDDHI CORPORATION,40.0,33.0,7.0,82.5
RIYANSH PACKAGING,1.0,0.0,1.0,0.0
RONCH POLYMERS PVT LTD,6.0,2.0,4.0,33.33
ROYAL CERAMIC,1.0,1.0,0.0,100.0
RUPAL PLASTICS PVT LTD,34.0,31.0,3.0,91.18
Radiant Electronics ,2.0,1.0,1.0,50.0
Raj Dhani Enterprises,4.0,1.0,3.0,25.0
Rajendra D. Mane,10.0,6.0,4.0,60.0
Ramaya Packaging,56.0,48.0,8.0,85.71
Rohit Enterprise,1.0,0.0,1.0,0.0
S M MODULAR LLP,3.0,3.0,0.0,100.0
S.PLASTICS,7.0,4.0,3.0,57.14
