Item_No,Description,Location Code,Stock_Qty,Status
PK-I-9236,No Description,LF-SIL-017,10665,"< 50,000"
PK-I-9236,Wawa 3x1 Box Inner,LF-SIL-017,1096,"< 50,000"
PK-I-9301,Status 2 pin Inner,LF-HAR-E57,58875,"50,000 - 200,000"
PK-I-9316,No Description,LF-SIL-017,56387,"50,000 - 200,000"
PK-I-9786,Modular Power Box Inner,LF-HAR-E57,1400,"< 50,000"
PK-L-10106,No Description,LF-HAR-E57,5977,"< 50,000"
PK-L-10110,No Description,LF-HAR-E57,6000,"< 50,000"
PK-L-10116,No Description,LF-HAR-E57,6000,"< 50,000"
PK-L-10120,No Description,LF-HAR-E57,6000,"< 50,000"
PK-L-10125,No Description,LF-HAR-E57,6000,"< 50,000"
PK-L-10132,Status 32A SP MCB Label,LF-HAR-E57,1600,"< 50,000"
PK-L-10232,No Description,LF-HAR-E57,3000,"< 50,000"
PK-L-10232,Status 32A DP MCB Label,LF-HAR-E57,706,"< 50,000"
PK-L-14006,Platinum 2way Swt Label,LF-HAR-E57,479,"< 50,000"
PK-L-14011,No Description,LF-HAR-E57,50,"< 50,000"
PK-L-14021,No Description,LF-HAR-E57,800,"< 50,000"
PK-L-14036,No Description,LF-HAR-E57,500,"< 50,000"
PK-L-14041,No Description,LF-HAR-E57,1200,"< 50,000"
PK-L-14086,Label - Platinum 5step Regulator,LF-HAR-E57,760,"< 50,000"
PK-L-14091,Platinum Ind Label,LF-HAR-E57,1869,"< 50,000"
PK-L-14096,Label - Platinum Blank Plate,LF-HAR-E57,1980,"< 50,000"
PK-L-14101,No Description,LF-HAR-E57,500,"< 50,000"
PK-L-14106,Platinum TV Soc Label,LF-HAR-E57,245,"< 50,000"
PK-L-14111,No Description,LF-HAR-E57,500,"< 50,000"
PK-L-14116,Label - Platinum Cat 5 Socket,LF-HAR-E57,500,"< 50,000"
PK-L-14121,Label - Platinum Cat 6 Socket,LF-HAR-E57,500,"< 50,000"
PK-L-14131,Label - Platinum Motor Starter 25A,LF-HAR-E57,100,"< 50,000"
PK-L-14131,No Description,LF-HAR-E57,900,"< 50,000"
PK-L-14136,Label - Platinum D.P.With Key Card 32A,LF-HAR-E57,50,"< 50,000"
PK-L-14136,No Description,LF-HAR-E57,450,"< 50,000"
PK-L-14141,Label - Platinum Only Hotel Key Card,LF-HAR-E57,500,"< 50,000"
PK-L-14146,Label - Platinum Led Night Lamp,LF-HAR-E57,200,"< 50,000"
PK-L-14151,Label - Platinum Led Foot Lamp,LF-HAR-E57,150,"< 50,000"
PK-L-14156,Label - Platinum Movement Sensor,LF-HAR-E57,250,"< 50,000"
PK-L-14171,Label - Platinum Universal Raised Socket 6/16A,LF-HAR-E57,230,"< 50,000"
PK-L-14181,Label - Platinum Electronics Buzzer,LF-HAR-E57,500,"< 50,000"
PK-L-14201,Label - LINE 1WAY SWITCH 10A,LF-HAR-E57,2950,"< 50,000"
PK-L-14206,Line 2way Swt Label,LF-HAR-E57,475,"< 50,000"
PK-L-14211,No Description,LF-HAR-E57,300,"< 50,000"
PK-L-14216,Line 20A 1way Swt Label,LF-HAR-E57,500,"< 50,000"
PK-L-14216,No Description,LF-HAR-E57,700,"< 50,000"
PK-L-14221,No Description,LF-HAR-E57,100,"< 50,000"
PK-L-14251,Deep 10A Swt Label,LF-HAR-E57,2102,"< 50,000"
PK-L-14256,No Description,LF-HAR-E57,200,"< 50,000"
PK-L-14261,Deep Bell Push Label,LF-HAR-E57,500,"< 50,000"
PK-L-14261,No Description,LF-HAR-E57,200,"< 50,000"
PK-L-14266,Deep 20A Swt Label,LF-HAR-E57,1552,"< 50,000"
