SO_No,SO_Date,Completely_Shipped,Shipment_Status
SO/KOL/26/00106,2025-05-22,1,Fully Shipped
SO/KOL/26/00107,2025-05-22,1,Fully Shipped
SO/KOL/26/00108,2025-05-23,1,Fully Shipped
SO/KOL/26/00109,2025-05-23,0,Not Shipped
SO/KOL/26/00110,2025-05-24,1,Fully Shipped
SO/KOL/26/00111,2025-05-24,0,Not Shipped
SO/KOL/26/00112,2025-05-24,1,Fully Shipped
SO/KOL/26/00113,2025-05-26,1,Fully Shipped
SO/KOL/26/00114,2025-05-26,1,Fully Shipped
SO/KOL/26/00115,2025-05-26,1,Fully Shipped
SO/KOL/26/00116,2025-05-26,1,Fully Shipped
SO/KOL/26/00117,2025-05-27,1,Fully Shipped
SO/KOL/26/00118,2025-05-27,0,Not Shipped
SO/KOL/26/00119,2025-05-28,1,Fully Shipped
SO/KOL/26/00120,2025-05-28,0,Not Shipped
SO/KOL/26/00121,2025-05-29,0,Not Shipped
SO/KOL/26/00122,2025-05-30,1,Fully Shipped
SO/KOL/26/00123,2025-05-30,1,Fully Shipped
SO/KOL/26/00124,2025-05-30,1,Fully Shipped
SO/KOL/26/00125,2025-05-30,1,Fully Shipped
SO/KOL/26/00126,2025-05-30,1,Fully Shipped
SO/KOL/26/00127,2025-05-31,1,Fully Shipped
SO/KOL/26/00128,2025-05-31,1,Fully Shipped
SO/KOL/26/00129,2025-05-31,1,Fully Shipped
SO/KOL/26/00130,2025-05-31,1,Fully Shipped
SO/KOL/26/00131,2025-05-31,0,Not Shipped
SO/KOL/26/00132,2025-05-31,1,Fully Shipped
SO/KOL/26/00133,2025-05-31,0,Not Shipped
SO/KOL/26/00134,2025-05-31,0,Not Shipped
SO/KOL/26/00135,2025-05-31,0,Not Shipped
SO/KOL/26/00136,2025-05-31,1,Fully Shipped
SO/KOL/26/00137,2025-05-31,1,Fully Shipped
SO/KOL/26/00138,2025-05-31,1,Fully Shipped
SO/KOL/26/00139,2025-05-31,1,Fully Shipped
SO/KOL/26/00140,2025-05-31,1,Fully Shipped
SO/KOL/26/00141,2025-05-31,1,Fully Shipped
SO/KOL/26/00142,2025-05-31,1,Fully Shipped
SO/KOL/26/00143,2025-05-31,1,Fully Shipped
SO/KOL/26/00144,2025-05-31,1,Fully Shipped
SO/KOL/26/00145,2025-05-31,1,Fully Shipped
SO/KOL/26/00146,2025-05-31,1,Fully Shipped
SO/KOL/26/00147,2025-05-31,1,Fully Shipped
SO/KOL/26/00148,2025-05-31,1,Fully Shipped
SO/KOL/26/00149,2025-05-31,0,Not Shipped
SO/KOL/26/00150,2025-05-31,0,Not Shipped
SO/KOL/26/00151,2025-05-31,1,Fully Shipped
SO/KOL/26/00152,2025-05-31,1,Fully Shipped
SO/KOL/26/00153,2025-05-31,1,Fully Shipped
SO/KOL/26/00154,2025-05-31,1,Fully Shipped
SO/KOL/26/00155,2025-05-31,1,Fully Shipped
SO/KOL/26/00156,2025-05-31,1,Fully Shipped
SO/KOL/26/00157,2025-05-31,1,Fully Shipped
SO/KOL/26/00158,2025-05-31,1,Fully Shipped
SO/KOL/26/00160,2025-05-31,1,Fully Shipped
SO/KOL/26/00161,2025-05-31,1,Fully Shipped
SO/KOL/26/00162,2025-05-31,1,Fully Shipped
SO/KOL/26/00163,2025-05-31,1,Fully Shipped
SO/KOL/26/00164,2025-05-31,1,Fully Shipped
SO/KOL/26/00166,2025-05-31,1,Fully Shipped
SO/KOL/26/00167,2025-05-31,0,Not Shipped
SO/KOL/26/00168,2025-06-06,0,Not Shipped
SO/KOL/26/00169,2025-06-06,1,Fully Shipped
SO/KOL/26/00170,2025-06-07,0,Not Shipped
SO/KOL/26/00171,2025-06-10,1,Fully Shipped
SO/KOL/26/00172,2025-06-11,1,Fully Shipped
SO/KOL/26/00174,2025-06-12,1,Fully Shipped
SO/KOL/26/00175,2025-06-12,1,Fully Shipped
SO/KOL/26/00176,2025-06-13,1,Fully Shipped
SO/KOL/26/00177,2025-06-13,0,Not Shipped
SO/KOL/26/00178,2025-06-13,1,Fully Shipped
SO/KOL/26/00179,2025-06-13,1,Fully Shipped
SO/KOL/26/00180,2025-06-13,0,Not Shipped
SO/KOL/26/00181,2025-06-13,0,Not Shipped
SO/KOL/26/00183,2025-07-13,0,Not Shipped
SO/KOL/26/00190,2025-07-15,0,Not Shipped
SO/KOL/26/00191,2025-07-15,0,Not Shipped
SO/KOL/26/00192,2025-07-15,0,Not Shipped
SO/KOL/26/00193,2025-07-15,0,Not Shipped
SO/KOL/26/00194,2025-07-15,0,Not Shipped
SO/KOL/26/00195,2025-07-19,1,Fully Shipped
SO/KOL/26/00196,2025-07-19,1,Fully Shipped
SO/KOL/26/00197,2025-07-19,0,Not Shipped
SO/KOL/26/00198,2025-07-19,1,Fully Shipped
SO/KOL/26/00199,2025-07-19,1,Fully Shipped
SO/KOL/26/00200,2025-07-19,1,Fully Shipped
SO/KOL/26/00201,2025-07-19,0,Not Shipped
SO/KOL/26/00202,2025-07-21,0,Not Shipped
SO/KOL/26/00203,2025-07-22,0,Not Shipped
SO/KOL/26/00204,2025-07-22,0,Not Shipped
SO/KOL/26/00205,2025-07-23,1,Fully Shipped
SO/KOL/26/00206,2025-07-23,1,Fully Shipped
SO/KOL/26/00207,2025-07-23,0,Not Shipped
SO/KOL/26/00209,2025-07-24,1,Fully Shipped
SO/KOL/26/00221,2025-07-25,1,Fully Shipped
SO/KOL/26/00222,2025-07-25,1,Fully Shipped
SO/KOL/26/00225,2025-07-26,1,Fully Shipped
SO/KOL/26/00226,2025-07-26,1,Fully Shipped
SO/KOL/26/00228,2025-07-26,0,Not Shipped
SO/KOL/26/00232,2025-07-28,1,Fully Shipped
SO/KOL/26/00234,2025-07-28,0,Not Shipped
SO/KOL/26/00236,2025-07-29,1,Fully Shipped
SO/KOL/26/00237,2025-07-29,1,Fully Shipped
SO/KOL/26/00238,2025-07-30,1,Fully Shipped
SO/KOL/26/00239,2025-07-30,1,Fully Shipped
SO/KOL/26/00240,2025-07-30,1,Fully Shipped
SO/KOL/26/00241,2025-07-30,1,Fully Shipped
SO/KOL/26/00243,2025-07-30,1,Fully Shipped
SO/KOL/26/00244,2025-07-31,1,Fully Shipped
SO/KOL/26/00245,2025-07-31,1,Fully Shipped
SO/KOL/26/00246,2025-07-31,1,Fully Shipped
SO/KOL/26/00247,2025-07-31,1,Fully Shipped
SO/KOL/26/00248,2025-07-31,0,Not Shipped
SO/KOL/26/00249,2025-07-31,1,Fully Shipped
SO/KOL/26/00250,2025-07-31,1,Fully Shipped
SO/KOL/26/00251,2025-07-31,1,Fully Shipped
SO/KOL/26/00252,2025-07-31,1,Fully Shipped
SO/KOL/26/00253,2025-07-31,1,Fully Shipped
SO/KOL/26/00254,2025-07-31,1,Fully Shipped
SO/KOL/26/00257,2025-07-31,1,Fully Shipped
SO/KOL/26/00258,2025-07-31,1,Fully Shipped
SO/KOL/26/00259,2025-07-31,0,Not Shipped
SO/KOL/26/00260,2025-07-31,1,Fully Shipped
SO/KOL/26/00261,2025-07-31,1,Fully Shipped
SO/KOL/26/00262,2025-07-31,1,Fully Shipped
SO/KOL/26/00263,2025-07-31,1,Fully Shipped
SO/KOL/26/00264,2025-07-31,1,Fully Shipped
SO/KOL/26/00265,2025-07-31,1,Fully Shipped
SO/KOL/26/00266,2025-07-31,1,Fully Shipped
SO/KOL/26/00267,2025-07-31,1,Fully Shipped
SO/KOL/26/00268,2025-07-31,1,Fully Shipped
SO/KOL/26/00269,2025-08-01,1,Fully Shipped
SO/KOL/26/00270,2025-08-07,0,Not Shipped
SO/KOL/26/00273,2025-08-08,1,Fully Shipped
SO/KOL/26/00274,2025-08-11,1,Fully Shipped
SO/KOL/26/00275,2025-08-11,1,Fully Shipped
SO/KOL/26/00276,2025-08-11,1,Fully Shipped
SO/KOL/26/00277,2025-08-12,1,Fully Shipped
SO/KOL/26/00278,2025-08-12,0,Not Shipped
SO/KOL/26/00279,2025-08-12,1,Fully Shipped
SO/KOL/26/00280,2025-08-12,1,Fully Shipped
SO/KOL/26/00281,2025-08-13,1,Fully Shipped
SO/KOL/26/00282,2025-08-13,0,Not Shipped
SO/KOL/26/00283,2025-08-08,1,Fully Shipped
SO/KOL/26/00284,2025-08-13,1,Fully Shipped
SO/KOL/26/00285,2025-08-14,1,Fully Shipped
SO/KOL/26/00286,2025-08-18,1,Fully Shipped
SO/KOL/26/00287,2025-08-18,1,Fully Shipped
SO/KOL/26/00288,2025-08-19,0,Not Shipped
SO/KOL/26/00289,2025-08-19,0,Not Shipped
SO/KOL/26/00290,2025-08-19,0,Not Shipped
SO/KOL/26/00291,2025-08-19,0,Not Shipped
SO/KOL/26/00292,2025-08-19,0,Not Shipped
SO/KOL/26/00293,2025-09-22,0,Not Shipped
SO/KOL/26/00294,2025-08-19,0,Not Shipped
SO/KOL/26/00295,2025-08-19,0,Not Shipped
SO/KOL/26/00296,2025-08-19,0,Not Shipped
SO/KOL/26/00297,2025-08-19,0,Not Shipped
SO/KOL/26/00298,2025-08-19,0,Not Shipped
SO/KOL/26/00299,2025-08-19,0,Not Shipped
SO/KOL/26/00300,2025-08-19,0,Not Shipped
SO/KOL/26/00301,2025-08-19,1,Fully Shipped
SO/KOL/26/00302,2025-08-19,1,Fully Shipped
SO/KOL/26/00303,2025-08-19,1,Fully Shipped
SO/KOL/26/00304,2025-08-19,1,Fully Shipped
SO/KOL/26/00305,2025-08-20,1,Fully Shipped
SO/KOL/26/00306,2025-08-20,0,Not Shipped
SO/KOL/26/00307,2025-08-20,1,Fully Shipped
SO/KOL/26/00308,2025-08-20,1,Fully Shipped
SO/KOL/26/00309,2025-08-20,1,Fully Shipped
SO/KOL/26/00310,2025-08-21,1,Fully Shipped
SO/KOL/26/00311,2025-08-21,1,Fully Shipped
SO/KOL/26/00312,2025-08-21,1,Fully Shipped
SO/KOL/26/00313,2025-08-22,1,Fully Shipped
SO/KOL/26/00314,2025-08-22,1,Fully Shipped
SO/KOL/26/00315,2025-08-22,1,Fully Shipped
SO/KOL/26/00316,2025-08-23,1,Fully Shipped
SO/KOL/26/00317,2025-08-23,1,Fully Shipped
SO/KOL/26/00318,2025-08-23,1,Fully Shipped
SO/KOL/26/00319,2025-08-25,1,Fully Shipped
SO/KOL/26/00320,2025-08-25,1,Fully Shipped
SO/KOL/26/00321,2025-08-25,1,Fully Shipped
SO/KOL/26/00322,2025-08-25,1,Fully Shipped
SO/KOL/26/00323,2025-08-26,1,Fully Shipped
SO/KOL/26/00324,2025-08-26,1,Fully Shipped
SO/KOL/26/00325,2025-08-26,1,Fully Shipped
SO/KOL/26/00326,2025-08-26,1,Fully Shipped
SO/KOL/26/00327,2025-08-26,1,Fully Shipped
SO/KOL/26/00328,2025-08-28,1,Fully Shipped
SO/KOL/26/00329,2025-08-28,0,Not Shipped
SO/KOL/26/00330,2025-08-28,1,Fully Shipped
SO/KOL/26/00331,2025-08-29,1,Fully Shipped
SO/KOL/26/00332,2025-08-28,1,Fully Shipped
SO/KOL/26/00333,2025-08-28,1,Fully Shipped
SO/KOL/26/00334,2025-08-29,1,Fully Shipped
SO/KOL/26/00335,2025-08-29,1,Fully Shipped
SO/KOL/26/00336,2025-08-30,1,Fully Shipped
SO/KOL/26/00337,2025-08-30,1,Fully Shipped
SO/KOL/26/00338,2025-08-28,1,Fully Shipped
SO/KOL/26/00339,2025-08-30,1,Fully Shipped
SO/KOL/26/00340,2025-08-30,1,Fully Shipped
SO/KOL/26/00341,2025-08-30,1,Fully Shipped
SO/KOL/26/00342,2025-08-30,0,Not Shipped
SO/KOL/26/00343,2025-08-30,1,Fully Shipped
SO/KOL/26/00344,2025-08-30,1,Fully Shipped
SO/KOL/26/00345,2025-08-30,1,Fully Shipped
SO/KOL/26/00346,2025-08-30,1,Fully Shipped
SO/KOL/26/00347,2025-08-30,1,Fully Shipped
SO/KOL/26/00348,2025-08-30,1,Fully Shipped
SO/KOL/26/00349,2025-08-30,1,Fully Shipped
SO/KOL/26/00350,2025-08-30,1,Fully Shipped
SO/KOL/26/00351,2025-08-30,1,Fully Shipped
SO/KOL/26/00352,2025-08-30,1,Fully Shipped
SO/KOL/26/00353,2025-08-30,1,Fully Shipped
SO/KOL/26/00354,2025-08-31,1,Fully Shipped
SO/KOL/26/00355,2025-08-31,1,Fully Shipped
SO/KOL/26/00356,2025-08-31,1,Fully Shipped
SO/KOL/26/00357,2025-08-31,1,Fully Shipped
SO/KOL/26/00358,2025-08-31,1,Fully Shipped
SO/KOL/26/00359,2025-08-31,0,Not Shipped
SO/KOL/26/00360,2025-09-05,0,Not Shipped
SO/KOL/26/00361,2025-09-05,1,Fully Shipped
SO/KOL/26/00362,2025-09-06,1,Fully Shipped
SO/KOL/26/00363,2025-09-05,1,Fully Shipped
SO/KOL/26/00364,2025-09-06,1,Fully Shipped
SO/KOL/26/00365,2025-09-06,1,Fully Shipped
SO/KOL/26/00366,2025-09-09,1,Fully Shipped
SO/KOL/26/00367,2025-09-11,1,Fully Shipped
SO/KOL/26/00368,2025-09-12,1,Fully Shipped
SO/KOL/26/00369,2025-09-12,1,Fully Shipped
SO/KOL/26/00370,2025-09-11,0,Not Shipped
SO/KOL/26/00371,2025-09-13,1,Fully Shipped
SO/KOL/26/00372,2025-09-13,1,Fully Shipped
SO/KOL/26/00373,2025-09-15,1,Fully Shipped
SO/KOL/26/00374,2025-09-15,1,Fully Shipped
SO/KOL/26/00375,2025-09-15,1,Fully Shipped
SO/KOL/26/00376,2025-09-16,1,Fully Shipped
SO/KOL/26/00377,2025-09-17,1,Fully Shipped
SO/KOL/26/00378,2025-09-17,1,Fully Shipped
SO/KOL/26/00379,2025-09-15,0,Not Shipped
SO/KOL/26/00380,2025-09-19,0,Not Shipped
SO/KOL/26/00381,2025-09-19,1,Fully Shipped
SO/KOL/26/00382,2025-09-20,1,Fully Shipped
SO/KOL/26/00383,2025-09-20,1,Fully Shipped
SO/KOL/26/00384,2025-09-20,1,Fully Shipped
SO/KOL/26/00385,2025-09-22,1,Fully Shipped
SO/KOL/26/00386,2025-09-20,1,Fully Shipped
SO/KOL/26/00387,2025-09-22,0,Not Shipped
SO/KOL/26/00388,2025-09-22,0,Not Shipped
SO/KOL/26/00389,2025-09-22,1,Fully Shipped
SO/KOL/26/00390,2025-09-22,1,Fully Shipped
SO/KOL/26/00391,2025-09-22,1,Fully Shipped
SO/KOL/26/00392,2025-09-23,1,Fully Shipped
SO/KOL/26/00393,2025-09-23,1,Fully Shipped
SO/KOL/26/00394,2025-09-24,1,Fully Shipped
SO/KOL/26/00395,2025-09-24,1,Fully Shipped
SO/KOL/26/00396,2025-09-24,1,Fully Shipped
SO/KOL/26/00397,2025-09-25,1,Fully Shipped
SO/KOL/26/00398,2025-09-25,1,Fully Shipped
SO/KOL/26/00399,2025-09-26,1,Fully Shipped
SO/KOL/26/00400,2025-09-26,1,Fully Shipped
SO/KOL/26/00401,2025-09-25,1,Fully Shipped
SO/KOL/26/00402,2025-10-04,1,Fully Shipped
SO/KOL/26/00403,2025-10-04,1,Fully Shipped
SO/KOL/26/00404,2025-10-07,1,Fully Shipped
SO/KOL/26/00405,2025-10-08,1,Fully Shipped
SO/KOL/26/00406,2025-10-08,1,Fully Shipped
SO/KOL/26/00407,2025-10-08,1,Fully Shipped
SO/KOL/26/00408,2025-10-08,1,Fully Shipped
SO/KOL/26/00409,2025-10-09,1,Fully Shipped
SO/KOL/26/00410,2025-10-09,1,Fully Shipped
SO/KOL/26/00411,2025-10-10,1,Fully Shipped
SO/KOL/26/00412,2025-10-10,1,Fully Shipped
SO/KOL/26/00413,2025-10-11,1,Fully Shipped
SO/KOL/26/00414,2025-10-11,1,Fully Shipped
SO/KOL/26/00415,2025-10-10,1,Fully Shipped
SO/KOL/26/00416,2025-10-13,0,Not Shipped
SO/KOL/26/00417,2025-10-13,1,Fully Shipped
SO/KOL/26/00418,2025-10-13,1,Fully Shipped
SO/KOL/26/00419,2025-10-13,1,Fully Shipped
SO/KOL/26/00420,2025-10-13,0,Not Shipped
SO/KOL/26/00421,2025-10-13,1,Fully Shipped
SO/KOL/26/00422,2025-10-13,0,Not Shipped
SO/KOL/26/00423,2025-10-13,1,Fully Shipped
SO/KOL/26/00424,2025-10-13,1,Fully Shipped
SO/KOL/26/00425,2025-10-13,0,Not Shipped
SO/KOL/26/00426,2025-10-13,0,Not Shipped
SO/KOL/26/00427,2025-10-13,0,Not Shipped
SO/KOL/26/00428,2025-10-13,0,Not Shipped
SO/KOL/26/00429,2025-10-13,1,Fully Shipped
SO/KOL/26/00430,2025-10-13,1,Fully Shipped
SO/KOL/26/00431,2025-10-13,1,Fully Shipped
SO/KOL/26/00432,2025-10-13,1,Fully Shipped
SO/KOL/26/00433,2025-10-13,1,Fully Shipped
SO/KOL/26/00434,2025-10-13,1,Fully Shipped
SO/KOL/26/00435,2025-10-14,1,Fully Shipped
SO/KOL/26/00436,2025-10-14,1,Fully Shipped
SO/KOL/26/00437,2025-10-15,1,Fully Shipped
SO/KOL/26/00438,2025-10-15,1,Fully Shipped
SO/KOL/26/00439,2025-10-16,1,Fully Shipped
SO/KOL/26/00440,2025-10-15,1,Fully Shipped
SO/KOL/26/00441,2025-10-16,1,Fully Shipped
SO/KOL/26/00442,2025-10-17,1,Fully Shipped
SO/KOL/26/00443,2025-10-17,1,Fully Shipped
SO/KOL/26/00444,2025-10-17,1,Fully Shipped
SO/KOL/26/00445,2025-10-16,1,Fully Shipped
SO/KOL/26/00446,2025-10-17,1,Fully Shipped
SO/KOL/26/00447,2025-10-18,1,Fully Shipped
SO/KOL/26/00448,2025-10-24,1,Fully Shipped
SO/KOL/26/00449,2025-10-24,1,Fully Shipped
SO/KOL/26/00450,2025-10-24,1,Fully Shipped
SO/KOL/26/00451,2025-10-20,1,Fully Shipped
SO/KOL/26/00452,2025-10-20,1,Fully Shipped
SO/KOL/26/00453,2025-10-20,1,Fully Shipped
SO/KOL/26/00454,2025-10-24,1,Fully Shipped
SO/KOL/26/00455,2025-10-25,1,Fully Shipped
SO/KOL/26/00456,2025-10-17,1,Fully Shipped
SO/KOL/26/00457,2025-10-25,1,Fully Shipped
SO/KOL/26/00458,2025-10-28,1,Fully Shipped
SO/KOL/26/00459,2025-10-27,1,Fully Shipped
SO/KOL/26/00460,2025-10-27,1,Fully Shipped
SO/KOL/26/00461,2025-10-29,1,Fully Shipped
SO/KOL/26/00462,2025-10-28,1,Fully Shipped
SO/KOL/26/00463,2025-10-28,1,Fully Shipped
SO/KOL/26/00464,2025-10-28,1,Fully Shipped
SO/KOL/26/00465,2025-10-28,1,Fully Shipped
SO/KOL/26/00466,2025-10-29,1,Fully Shipped
SO/KOL/26/00467,2025-10-29,1,Fully Shipped
SO/KOL/26/00468,2025-10-29,1,Fully Shipped
SO/KOL/26/00469,2025-10-29,1,Fully Shipped
SO/KOL/26/00470,2025-10-27,1,Fully Shipped
SO/KOL/26/00471,2025-10-17,1,Fully Shipped
SO/KOL/26/00472,2025-10-17,1,Fully Shipped
SO/KOL/26/00473,2025-10-30,1,Fully Shipped
SO/KOL/26/00474,2025-10-29,1,Fully Shipped
SO/KOL/26/00475,2025-10-30,1,Fully Shipped
SO/KOL/26/00476,2025-10-30,1,Fully Shipped
SO/KOL/26/00477,2025-10-30,1,Fully Shipped
SO/KOL/26/00478,2025-10-25,1,Fully Shipped
SO/KOL/26/00479,2025-10-25,1,Fully Shipped
SO/KOL/26/00480,2025-10-31,1,Fully Shipped
SO/KOL/26/00481,2025-10-31,1,Fully Shipped
SO/KOL/26/00482,2025-10-31,1,Fully Shipped
SO/KOL/26/00483,2025-10-31,1,Fully Shipped
SO/KOL/26/00484,2025-10-31,0,Not Shipped
SO/KOL/26/00485,2025-10-31,1,Fully Shipped
SO/KOL/26/00486,2025-10-31,1,Fully Shipped
SO/KOL/26/00487,2025-10-31,1,Fully Shipped
SO/KOL/26/00488,2025-10-31,1,Fully Shipped
SO/KOL/26/00489,2025-10-31,1,Fully Shipped
SO/KOL/26/00490,2025-10-25,1,Fully Shipped
SO/KOL/26/00491,2025-10-31,1,Fully Shipped
SO/KOL/26/00492,2025-10-31,1,Fully Shipped
SO/KOL/26/00493,2025-10-31,1,Fully Shipped
SO/KOL/26/00494,2025-10-31,1,Fully Shipped
SO/KOL/26/00495,2025-10-31,1,Fully Shipped
SO/KOL/26/00496,2025-10-31,1,Fully Shipped
SO/KOL/26/00497,2025-10-31,1,Fully Shipped
SO/KOL/26/00498,2025-10-31,1,Fully Shipped
SO/KOL/26/00499,2025-10-31,1,Fully Shipped
SO/KOL/26/00500,2025-10-31,1,Fully Shipped
SO/KOL/26/00501,2025-10-31,1,Fully Shipped
SO/KOL/26/00502,2025-10-31,1,Fully Shipped
SO/KOL/26/00503,2025-10-31,1,Fully Shipped
SO/KOL/26/00504,2025-10-31,1,Fully Shipped
SO/KOL/26/00505,2025-10-31,1,Fully Shipped
SO/KOL/26/00506,2025-11-04,1,Fully Shipped
SO/KOL/26/00507,2025-11-04,1,Fully Shipped
SO/KOL/26/00508,2025-11-04,1,Fully Shipped
SO/KOL/26/00509,2025-11-04,1,Fully Shipped
SO/KOL/26/00510,2025-11-04,1,Fully Shipped
SO/KOL/26/00511,2025-11-04,1,Fully Shipped
SO/KOL/26/00512,2025-11-04,1,Fully Shipped
SO/KOL/26/00513,2025-11-04,1,Fully Shipped
SO/KOL/26/00514,2025-11-05,0,Not Shipped
SO/KOL/26/00515,2025-11-04,1,Fully Shipped
SO/KOL/26/00516,2025-11-06,1,Fully Shipped
SO/KOL/26/00517,2025-11-10,1,Fully Shipped
SO/KOL/26/00518,2025-11-10,1,Fully Shipped
SO/KOL/26/00519,2025-11-10,1,Fully Shipped
SO/KOL/26/00520,2025-11-12,1,Fully Shipped
SO/KOL/26/00521,2025-11-12,1,Fully Shipped
SO/KOL/26/00522,2025-11-12,1,Fully Shipped
SO/KOL/26/00523,2025-11-13,1,Fully Shipped
SO/KOL/26/00524,2025-11-14,1,Fully Shipped
SO/KOL/26/00525,2025-11-15,1,Fully Shipped
SO/KOL/26/00526,2025-11-15,1,Fully Shipped
SO/KOL/26/00527,2025-11-15,1,Fully Shipped
SO/KOL/26/00528,2025-11-15,1,Fully Shipped
SO/KOL/26/00529,2025-11-17,1,Fully Shipped
SO/KOL/26/00530,2025-11-17,1,Fully Shipped
SO/KOL/26/00531,2025-11-18,1,Fully Shipped
SO/KOL/26/00532,2025-11-17,1,Fully Shipped
SO/KOL/26/00533,2025-11-18,1,Fully Shipped
SO/KOL/26/00534,2025-11-18,1,Fully Shipped
SO/KOL/26/00535,2025-11-18,1,Fully Shipped
SO/KOL/26/00536,2025-11-18,1,Fully Shipped
SO/KOL/26/00537,2025-11-18,1,Fully Shipped
SO/KOL/26/00538,2025-11-19,1,Fully Shipped
SO/KOL/26/00539,2025-11-20,1,Fully Shipped
SO/KOL/26/00540,2025-11-20,1,Fully Shipped
SO/KOL/26/00541,2025-11-19,1,Fully Shipped
SO/KOL/26/00542,2025-11-21,1,Fully Shipped
SO/KOL/26/00543,2025-11-21,1,Fully Shipped
SO/KOL/26/00544,2025-11-22,1,Fully Shipped
SO/KOL/26/00545,2025-11-22,1,Fully Shipped
SO/KOL/26/00546,2025-11-17,1,Fully Shipped
SO/KOL/26/00547,2025-11-24,1,Fully Shipped
SO/KOL/26/00548,2025-11-18,0,Not Shipped
SO/KOL/26/00549,2025-11-24,1,Fully Shipped
SO/KOL/26/00550,2025-11-17,1,Fully Shipped
SO/KOL/26/00551,2025-11-25,1,Fully Shipped
SO/KOL/26/00552,2025-11-24,0,Not Shipped
SO/KOL/26/00553,2025-11-24,1,Fully Shipped
SO/KOL/26/00554,2025-11-25,1,Fully Shipped
SO/KOL/26/00555,2025-11-25,1,Fully Shipped
SO/KOL/26/00556,2025-11-25,1,Fully Shipped
SO/KOL/26/00557,2025-11-26,1,Fully Shipped
SO/KOL/26/00558,2025-11-26,1,Fully Shipped
SO/KOL/26/00559,2025-11-24,1,Fully Shipped
SO/KOL/26/00560,2025-11-27,1,Fully Shipped
SO/KOL/26/00561,2025-11-27,1,Fully Shipped
SO/KOL/26/00562,2025-11-28,1,Fully Shipped
SO/KOL/26/00563,2025-11-28,1,Fully Shipped
SO/KOL/26/00564,2025-11-27,1,Fully Shipped
SO/KOL/26/00565,2025-11-28,1,Fully Shipped
SO/KOL/26/00566,2025-11-28,1,Fully Shipped
SO/KOL/26/00567,2025-11-28,1,Fully Shipped
SO/KOL/26/00568,2025-11-28,1,Fully Shipped
SO/KOL/26/00569,2025-11-28,1,Fully Shipped
SO/KOL/26/00570,2025-11-29,1,Fully Shipped
SO/KOL/26/00571,2025-11-29,1,Fully Shipped
SO/KOL/26/00572,2025-11-29,1,Fully Shipped
SO/KOL/26/00573,2025-11-29,1,Fully Shipped
SO/KOL/26/00574,2025-11-29,1,Fully Shipped
SO/KOL/26/00575,2025-11-29,1,Fully Shipped
SO/KOL/26/00576,2025-11-29,1,Fully Shipped
SO/KOL/26/00577,2025-11-29,1,Fully Shipped
SO/KOL/26/00578,2025-11-30,1,Fully Shipped
SO/KOL/26/00579,2025-11-30,1,Fully Shipped
SO/KOL/26/00580,2025-11-30,1,Fully Shipped
SO/KOL/26/00581,2025-11-30,1,Fully Shipped
SO/KOL/26/00582,2025-11-30,1,Fully Shipped
SO/KOL/26/00583,2025-11-30,1,Fully Shipped
SO/KOL/26/00584,2025-11-30,1,Fully Shipped
SO/KOL/26/00585,2025-11-30,1,Fully Shipped
SO/KOL/26/00586,2025-11-30,1,Fully Shipped
SO/KOL/26/00587,2025-11-30,1,Fully Shipped
SO/KOL/26/00588,2025-11-29,1,Fully Shipped
SO/KOL/26/00589,2025-11-30,1,Fully Shipped
SO/KOL/26/00590,2025-11-30,1,Fully Shipped
SO/KOL/26/00591,2025-11-30,1,Fully Shipped
SO/KOL/26/00592,2025-11-30,1,Fully Shipped
SO/KOL/26/00593,2025-11-30,1,Fully Shipped
SO/KOL/26/00594,2025-11-30,1,Fully Shipped
SO/KOL/26/00595,2025-11-30,1,Fully Shipped
SO/KOL/26/00596,2025-11-30,1,Fully Shipped
SO/KOL/26/00597,2025-11-30,1,Fully Shipped
SO/KOL/26/00598,2025-11-30,1,Fully Shipped
SO/KOL/26/00599,2025-11-30,1,Fully Shipped
SO/KOL/26/00600,2025-12-06,1,Fully Shipped
SO/KOL/26/00601,2025-12-06,1,Fully Shipped
SO/KOL/26/00602,2025-12-08,1,Fully Shipped
SO/KOL/26/00603,2025-12-08,1,Fully Shipped
SO/KOL/26/00604,2025-12-04,0,Not Shipped
SO/KOL/26/00605,2025-12-08,1,Fully Shipped
SO/KOL/26/00606,2025-12-08,1,Fully Shipped
SO/KOL/26/00607,2025-12-09,1,Fully Shipped
SO/KOL/26/00608,2025-12-09,1,Fully Shipped
SO/KOL/26/00609,2025-12-09,1,Fully Shipped
SO/KOL/26/00610,2025-12-09,1,Fully Shipped
SO/KOL/26/00611,2025-12-10,1,Fully Shipped
SO/KOL/26/00612,2025-12-08,0,Not Shipped
SO/KOL/26/00613,2025-12-11,0,Not Shipped
SO/LOH/26/00004,2025-04-15,1,Fully Shipped
SO/LOH/26/00006,2025-04-16,1,Fully Shipped
SO/LOH/26/00007,2025-04-16,0,Not Shipped
SO/LOH/26/00010,2025-04-18,1,Fully Shipped
SO/LOH/26/00012,2025-04-19,1,Fully Shipped
SO/LOH/26/00013,2025-04-19,1,Fully Shipped
SO/LOH/26/00014,2025-04-19,0,Not Shipped
SO/LOH/26/00015,2025-04-19,1,Fully Shipped
SO/LOH/26/00016,2025-04-19,0,Not Shipped
SO/LOH/26/00017,2025-04-21,1,Fully Shipped
SO/LOH/26/00018,2025-04-21,1,Fully Shipped
