Item No.,Location Code,Description,Category,Subcategory,On_Hand,Stock_Value,Last Outward Date,Days Dormant,Status,Days Dormant Display
PK-305,LF-SIL-017,Porc 100/415V KK Thermocol Set for Master Ctn,PACKAGING,,89.0,6945.73,2025-09-29,100.0,Slow-Moving,100.0
PK-401,LF-PAL-A03,Press to Open Sticker,PACKAGING,,15436.0,2624.12,,,Dead,Never Moved
PK-501,LF-HAR-E57,Common Panni (2.5x4),PACKAGING,,40800.0,6300.0,2025-10-10,89.0,Slow-Moving,89.0
PK-505,LF-HAR-E57,,PACKAGING,,55125.0,19293.75,2025-11-08,60.0,Active,60.0
PK-505,LF-SIL-017,Common Panni (4.5x5),PACKAGING,,37812.0,85750.0,2025-11-13,55.0,Active,55.0
PK-508,LF-HAR-E57,Common Panni (4x4),PACKAGING,,58303.0,20406.05,2025-11-13,55.0,Active,55.0
PK-513,LF-SIL-017,,PACKAGING,,20000.0,17000.0,2025-09-01,128.0,Slow-Moving,128.0
PK-514,LF-DEL-01,Common Panni (4.5x6),PACKAGING,,26890.0,9970.55,2025-11-10,58.0,Active,58.0
PK-514,LF-SIL-017,Common Panni (4.5x6),PACKAGING,,120000.0,45600.0,2025-11-13,55.0,Active,55.0
PK-523,LF-HAR-E57,Common Panni (6x11),PACKAGING,,78000.0,66400.0,2025-10-06,93.0,Slow-Moving,93.0
PK-657,LF-PAL-A03,,PACKAGING,,106.0,300.0,2025-11-12,56.0,Active,56.0
PK-750,LF-PAL-A03,,PACKAGING,,500.0,2250.0,,,Dead,Never Moved
PK-974,LF-HAR-E57,Wawa DC 6/16A Foam For Outer (390*170*8mm),PACKAGING,,360.0,2040.0,2025-10-06,93.0,Slow-Moving,93.0
PK-975,LF-HAR-E57,Wawa DC 6/16A Foam For Inner (165*75*10mm),PACKAGING,,900.0,1800.0,2025-10-06,93.0,Slow-Moving,93.0
PK-982,LF-PAL-A03,Regency Bell Instruction Manual,PACKAGING,,35560.0,14224.0,2025-11-12,56.0,Active,56.0
PK-983,LF-PAL-A03,Flood Bell Instruction Manual (Plain Paper),PACKAGING,,15100.0,3406.0,2025-11-13,55.0,Active,55.0
PK-984,LF-PAL-A03,Mantra Instruction Manual,PACKAGING,,2070.0,1123.2,2025-10-31,68.0,Slow-Moving,68.0
PK-I-1016,IN_TRANSIT,,PACKAGING,,5320.0,2500.4,,,Dead,Never Moved
PK-I-1016,LF-AND-28,Jazz Swt Inner,PACKAGING,,5451.0,5640.0,2025-11-13,55.0,Active,55.0
PK-I-1046,LF-SIL-017,,PACKAGING,,10649.0,5750.46,2025-10-31,68.0,Slow-Moving,68.0
PK-I-1061,LF-AND-28,Super Swt Inner,PACKAGING,,52719.0,24778.12,2025-11-12,56.0,Active,56.0
PK-I-1061,LF-SIL-017,,PACKAGING,,41800.0,21294.0,2025-11-13,55.0,Active,55.0
PK-I-1091,LF-SIL-017,Ticino Inner,PACKAGING,,15000.0,7050.0,,,Dead,Never Moved
PK-I-1441,LF-HAR-E57,Relax Bed Swt Inner,PACKAGING,,48000.0,38880.0,,,Dead,Never Moved
PK-I-1451,LF-AND-28,Gold Hanging Bed Switch Inner,PACKAGING,,22776.0,20296.0,2025-11-12,56.0,Active,56.0
PK-I-14903,LF-VAS-006,Hi Glass 3M Inner,PACKAGING,,504.0,2772.0,,,Dead,Never Moved
PK-I-14904,LF-VAS-006,Hi Glass 4M Inner,PACKAGING,,191.0,953.09,,,Dead,Never Moved
