PO_No,Vendor,Order_Date,Last_Receiving_No,Last_Receipt_Date,Outstanding_Qty,Days_Difference,Delivery_Status,Month
SUBCONPO/26/01528,SHALU - JW,16-10-2025,PPR/HAR/26/03378,12-11-2025,1960.0,27,>15 days,November 2025
SUBCONPO/26/01529,AMIT KUMAR PATEL - JW,16-10-2025,PPR/HAR/26/02875,30-10-2025,0.0,14,≤15 days,October 2025
SUBCONPO/26/01530,INDRA PRAKASHSO SURYA PRAKASH - JW,16-10-2025,PPR/HAR/26/02649,26-10-2025,0.0,10,≤15 days,October 2025
SUBCONPO/26/01531,Mohit Enterprises,16-10-2025,PPR/HAR/26/02632,26-10-2025,0.0,10,≤15 days,October 2025
SUBCONPO/26/01532,MIRAJ ENTERPRISE,16-10-2025,PPR/SIL/26/2226,31-10-2025,0.0,15,≤15 days,October 2025
SUBCONPO/26/01533,Khushbu,16-10-2025,PPR/HAR/26/02680,27-10-2025,0.0,11,≤15 days,October 2025
SUBCONPO/26/01534,RAM ASHRAY PATEL - JW,16-10-2025,PPR/HAR/26/02726,08-10-2025,0.0,-8,No Receipt,October 2025
SUBCONPO/26/01535,RAM SHARAN - JW,16-10-2025,PPR/HAR/26/02775,28-10-2025,0.0,12,≤15 days,October 2025
SUBCONPO/26/01536,RAJENDRAPRASAD R MOURYA,16-10-2025,PPR/SIL/26/2250,03-11-2025,0.0,18,>15 days,November 2025
SUBCONPO/26/01537,Anchal Singh,16-10-2025,PPR/SIL/26/2294,06-11-2025,0.0,21,>15 days,November 2025
SUBCONPO/26/01538,MIRAJ ENTERPRISE,16-10-2025,PPR/SIL/26/2222,31-10-2025,0.0,15,≤15 days,October 2025
SUBCONPO/26/01539,P R ENTERPRISES,17-10-2025,PPR/SIL/26/2048,18-10-2025,0.0,1,≤15 days,October 2025
SUBCONPO/26/01540,MIRAJ ENTERPRISE,17-10-2025,PPR/SIL/26/2227,31-10-2025,0.0,14,≤15 days,October 2025
SUBCONPO/26/01541,Shree Ganesh Industries,17-10-2025,PPR/HAR/26/02337,16-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01542,Shree Ganesh Industries,17-10-2025,PPR/HAR/26/02338,16-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01543,Shree Ganesh Industries,17-10-2025,PPR/HAR/26/02339,16-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01544,Shree Ganesh Industries,17-10-2025,PPR/HAR/26/02340,16-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01545,Shree Ganesh Industries,17-10-2025,PPR/HAR/26/02341,16-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01546,JITENDRA YADAY - JW,17-10-2025,PPR/HAR/26/02343,17-10-2025,0.0,0,≤15 days,October 2025
